Vendor,Operator,Latitude,Longitude,State,Fuel_Type
N. Mary Francis Power Plant,"Power Depot Group A, LLC",31.9214266,-102.4310511,TX,electric
Middle Daisy Solar,Onyx Asset Services Group,32.9789253,-103.3713106,NM,electric
Castle Gap Solar Hybrid,Upton County Solar 2 LLC,31.2527517,-102.2959447,TX,electric
Kinsley II Landfill Solar System,Public Service Enterprise Group,39.793421,-75.1063404,NJ,electric
Alethea I,"Syncarpha Alethea I, LLC",40.0004046,-74.7352374,NJ,electric
West Pemberton,NJR Clean Energy Ventures Corporation,40.0060522,-74.7301063,NJ,electric
Springfield Solar Project,NJR Clean Energy Ventures Corporation,40.0318868,-74.6476119,NJ,electric
Day Four Solar LLC,"Altus Power America Management, LLC",40.0529772,-74.5564262,NJ,electric
Sheridan Substation,Penelec,40.352677,-78.9428502,PA,electric
Hammock Bay Substation,PowerSouth Energy Cooperative,30.5096168,-86.1592772,FL,electric
Bryan Power Plant,City of Bryan - (TX),30.6469362,-96.3728897,TX,electric
Marlin Solar,Cypress Creek Renewables,31.2855583,-96.8774723,TX,electric
Eddy II Solar,Cypress Creek Renewables,31.2930798,-97.2653572,TX,electric
Yellow Jacket Solar,Cypress Creek Renewables,31.9337368,-97.6506924,TX,electric
Bristol Plant,"Ingenco Renewable Development, LLC",36.6020182,-82.1431245,TN,electric
Domtar Kingsport Mill Power Plant,Domtar Paper Co LLC Kingsport Mill,36.5495176,-82.5693222,TN,electric
SR Jonesborough,"SR Jonesborough II, LLC",36.2486049,-82.5220067,TN,electric
South Holston Power Plant,Tennessee Valley Authority,36.5240825,-82.0904167,TN,electric
Powell Valley Power Plant,Powell Valley Electric Cooperative,36.5748656,-83.0321216,VA,electric
Wilbur Power Plant,Tennessee Valley Authority,36.3416061,-82.126357,TN,electric
Volney II Solar,"DG New York CS, LLC",43.3394531,-76.3550556,NY,electric
Oswego County - Fulton Solar,Tesla Inc.,43.3420925,-76.3475802,NY,electric
High Acres Gas Recovery,WM Renewable Energy LLC,43.0817472,-77.3818794,NY,electric
South Mills Solar,"Adapture Renewables, Inc.",45.7275864,-107.635248,MT,electric
West Rapid City Substation,Black Hills Energy,44.0873356,-103.263459,SD,electric
Blacksburg Ret Substation,Duke Energy,35.1203249,-81.5260877,SC,electric
South Beach Substation,Jones-Onslow EMC,34.3873036,-77.6020633,NC,electric
Bernards Solar,NJR Clean Energy Ventures Corporation,40.7005234,-74.581816,NJ,electric
Raritan Solar - 53 Highway,NJR Clean Energy Ventures Corporation,40.4527409,-74.8654975,NJ,electric
Augusta Solar Farm,"Altus Power America Management, LLC",41.0999834,-74.7320683,NJ,electric
Frankford Solar,MN8 Energy LLC,41.1651366,-74.7015843,NJ,electric
Holland Solar,Goldman Sachs Renewable Power Group,40.5998235,-75.1084896,NJ,electric
"Quakertown Solar Farm, LLC",NJR Clean Energy Ventures Corporation,40.522613,-74.9427354,NJ,electric
Great Falls Dam,Duke Energy,34.5592538,-80.891663,SC,electric
Dearborn Dam,Duke Energy,34.5586027,-80.8912312,SC,electric
International Paper Columbus Mill Power Station,International Paper Columbus Mill Cogen,33.360088,-88.4596328,MS,electric
Kiawah Switching Station,Berkeley Electric Cooperative,32.6011089,-80.1090279,SC,electric
Packaging Corp of America Power Plant,Packaging Corp of America,35.0477265,-88.2660029,TN,electric
Wildberry Solar,"Adapture Renewables, Inc.",35.0617096,-89.3695951,TN,electric
Selmer Solar Farm,Onward Energy,35.1483102,-88.5578513,TN,electric
Kingsley Power Plant,Central Nebraska Pub P&I Dist,41.2115292,-101.6679746,NE,electric
Hibbing Power Plant,Hibbing Public Utilities Comm,47.4297702,-92.9346197,MN,electric
Boise Cascade International Falls,Boise White Paper LLC,48.6062289,-93.4077922,MN,electric
Prairie River Power Plant,"ALLETE, Inc.",47.2846796,-93.4999897,MN,electric
NASA Wallops Flight Facility Solar,Ameresco Federal Solutions,37.9257216,-75.4682661,VA,electric
Kingston Substation,UGI Utilities,41.2683195,-75.8971441,PA,electric
U S Alliance Coosa Pines Cogen,Bowater Newport Coosa Pines Op,33.3295024,-86.3566542,AL,electric
Sloss Industries Corp Cogen,Bluestone Coke LLC,33.5681684,-86.7986226,AL,electric
Decatur Energy Center,Decatur Energy Center LLC,34.6294604,-87.0204815,AL,electric
Sand Valley Power Station,EDL Inc,34.343832,-85.8661305,AL,electric
Formosa Plastics Cogen,"Formosa Plastics Corporation, Louisiana",30.497667,-91.1861382,LA,electric
LSU Cogen,LSU and A&M College,30.4107402,-91.1817209,LA,electric
Geismar Cogen,Air Liquide Large Industries U.S. LP,30.2082257,-90.9925199,LA,electric
Shell Chemical Cogen,Shell Chemical LP,30.1877577,-90.9841521,LA,electric
Oak Point Cogen,Chevron Oronite Company LLC,29.811871,-90.0084925,LA,electric
Gaylord Container Bogalusa Cogen,Temple-Inland Corp,30.7780867,-89.8589507,LA,electric
Dow St Charles Power Plant,Union Carbide Corporation,29.9834856,-90.4467118,LA,electric
Mosaic Phosphates Uncle Sam,Mosaic Phosphates Co.,30.0398629,-90.8291138,LA,electric
Geismar Power Plant,BASF Corporation,30.1953665,-90.9967404,LA,electric
LaO Energy Systems,The Dow Chemical Company,30.3202006,-91.236552,LA,electric
Procter & Gamble Mehoopany Mill Power Plant,Procter & Gamble Ppr Prdts Co,41.5720909,-76.0420941,PA,electric
Lycoming County and Allenwood Power Plant,EPP Renewable Energy,41.1516395,-76.9171916,PA,electric
Norther Tier Landfill,EPP Renewable Energy,41.7789558,-76.6257609,PA,electric
Roundtop Power Plant,Roundtop Energy LLC,41.6575213,-76.0488237,PA,electric
Oxbow Creek Power Plant,Oxbow Creek Energy LLC,41.6080544,-75.8701444,PA,electric
Bucknell University Power plant,Bucknell University,40.9551305,-76.8790069,PA,electric
Blossburg Power Plant,"Blossburg Power, LLC",41.7064274,-77.0819073,PA,electric
TalenEnergy Martins Creek LLC Williamsport,TalenEnergy Martins Creek LLC,41.2359973,-77.007716,PA,electric
Beaver Dam Power Plant,Beaver Dam Energy LLC,41.6115631,-76.84029,PA,electric
Alpaca Power Plant,Alpaca Energy LLC,41.6640478,-76.8079137,PA,electric
Wolf Run Energy,Wolf Run Energy LLC,41.6112722,-76.2993434,PA,electric
International Paper Riegelwood Mill Power Plant,International Paper Co-Riegelwood,34.353006,-78.2133792,NC,electric
Trojan Solar,Sol Systems,34.3125065,-78.2033101,NC,electric
Heedeh Solar,NES Rigel,34.307639,-78.2235615,NC,electric
Sutton Combined Cycle Plant,Duke Energy Progress,34.282175,-77.9853143,NC,electric
"Long Farm 46 Solar, LLC","Long Farm 46 Solar, LLC",36.4671128,-77.6180347,NC,electric
Seaboard Solar LLC,Seaboard Solar LLC,36.4765218,-77.4690031,NC,electric
