Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Plus4,Country,Status_Code,Station_Phone,Expected_Date,Access_Code,Latitude,Longitude,ID
ELEC,Veranda Falls,650 SE Becker Rd,Port St Lucie,FL,34984,,US,E,833-919-0939,,private,27.210626,-80.327637,420604
ELEC,Arundel Ford,1561 Portland Rd,Arundel,ME,4046,,US,P,888-357-1009,2025-01-11,private,43.421178,-70.515641,62831
CNG,Bob's Propane,10289 Dyer St,El Paso,TX,79924,,US,P,915-356-0092,2025-01-12,public,31.909546,-106.402658,15979
ELEC,"Kroger King Soopers 124 (Glendale, CO)",4600 Leetsdale Rd,Glendale,CO,80246,,US,P,833-632-2778,2025-01-13,private,39.70916,-104.93322,191771
ELEC,EVolve NY Richmondville,1168 NY-7,Richmondville,NY,12149,,US,E,833-632-2778,,public,42.64189,-74.53896,279445
ELEC,Flying J 1068,799 Jedburg Road,Summerville,SC,29483,,US,E,877-455-3833,,private,33.0800278,-80.2105278,397693
ELEC,Northern Star Co-op - Backus Propane,4165 4th St NW,Backus,MN,56435,,US,E,218-947-4433,,public,46.81968741,-94.50048387,183609
CNG,Clean Energy - Waco Flying J #739,2409 S New Rd,Waco,TX,76711,,US,P,866-809-4869,2025-01-14,private,31.507287,-97.145928,43682
ELEC,"Walmart 5272 (Poulsbo, WA)",21200 Olhava Way NW,Poulsbo,WA,98370,,US,E,833-632-2778,,private,47.75648,-122.66051,206987
ELEC,Equipment One Owasso,11710 E 76th St N,Owasso,OK,74055,,US,E,918-272-2441,,private,36.263542,-95.843003,53212
ELEC,Pilot Travel Center 416,2201 E 16th Ave,Cordele,GA,31015,,US,E,877-455-3833,,public,31.9600919,-83.74669,311139
ELEC,Pilot Travel Center 137,395 E. Vista Drive,Weed,CA,96094,,US,E,877-455-3833,,private,41.39931,-122.37635,360773
ELEC,Middleton Motors,7520 Century Ave,Middleton,WI,53562,,US,E,888-357-1009,,public,43.1117333,-89.5116286,358365
ELEC,1313 Hooksett Rd,1313 Hooksett Rd,Hooksett,NH,3106,,US,P,855-900-7584,2025-01-15,private,43.053618,-71.438603,417701
ELEC,Wegmans - Tesla Supercharger,47 Richards Ave,Norwalk,CT,6867,,US,E,877-798-3752,,public,41.093838,-73.447082,417114
CNG,Propane Depot,7507 Eckhert Rd,San Antonio,TX,78240,,US,E,210-521-2901,,private,29.5083,-98.627153,20235
ELEC,PIP Rental and Storage,67 NH Route 11,Farmington,NH,3835,,US,E,603-332-0911,,private,43.349835,-71.023999,105262
ELEC,"Phoenix, AZ",2502 E Camelback Road,Phoenix,AZ,85016,,US,E,866-576-1495,,private,33.5120286,-112.0274263,391249
ELEC,Sheetz #304,25224 Poland Rd,Chantilly,VA,20152,,US,E,877-455-3833,,private,38.9193651,-77.496222,228168
ELEC,Beyond Juice,21110 Mack Ave,Grosse Pointe Woods,MI,48236,,US,E,313-262-6722,,private,42.448599803869,-82.9052612795,400274
CNG,US Energy - Kissimmee,1907 S Poinciana Blvd,Kissimmee,FL,34758,,US,E,800-438-7912,,public,28.248652,-81.486722,67071
ELEC,Brea Mall,1065 Brea Mall Drive,Brea,CA,92821,,US,E,833-632-2778,,private,33.91472,-117.88354,166907
ELEC,Menards,2627 W Townline Rd,Peoria,IL,61615,,US,E,309-693-0416,,private,40.799221,-89.63482,50507
ELEC,"Brixmor Erie Canal Centre (Syracuse, NY)",3469 ERIE BLVD,Syracuse,NY,13214,,US,P,833-632-2778,2025-01-16,public,43.04606,-76.06693,192946
CNG,Kentuckiana Cleanfuel,2490 Commerce Blvd,Sharonville,OH,45241,,US,P,502-452-6312,2025-01-17,private,39.289201,-84.425955,79415
ELEC,U-Haul,7525 SE 29th St,Midwest City,OK,73110,,US,E,405-732-1152,,private,35.435812,-97.390557,20002
CNG,Propane Filling Station,800 E Parker Rd,Plano,TX,75074,,US,E,469-554-9640,,public,33.036787,-96.702481,145355
ELEC,Volger Ford Lincoln,1170 E Main St,Carbondale,IL,62901,,US,E,313-262-6722,,public,37.7312905322,-89.196329549,396979
ELEC,Stanley Ford,1280 E McGregor Dr,McGregor,TX,76657,,US,E,888-357-1009,,private,31.45436,-97.38384,416800
CNG,Coalgate Fuels,131 Winsor Rd,Coalgate,OK,74538,,US,E,580-927-2197,,private,34.51546401,-96.22471799,52883
ELEC,FasCharge 5862 Admiral Marathon Grand Haven,12160 W Olive Rd,Grand Haven,MI,49417,,US,E,313-262-6722,,private,42.98867,-86.19344,422597
ELEC,Inver Grove Ford - DCFC,4725 South Robert Trail,Inver Grove Heights,MN,55077,,US,E,888-998-2546,,private,44.88046583196521,-93.08201081321305,348036
CNG,Centergas Fuels,821 W Brown St,Pampa,TX,79065,,US,E,806-665-7235,,private,35.52630301,-100.9698879,22160
ELEC,"Happy Valley, OR",12000 SE 82nd Ave,Happy Valley,OR,97086,,US,E,866-576-1495,,public,45.4345472,-122.5693707,391234
ELEC,"Preylock Zanker Road Lot (San Jose, CA)",2860 Zanker Rd,San Jose,CA,95134,,US,E,833-632-2778,,private,37.39432,-121.92804,211801
ELEC,"Capstone El Camino Square (Encinitas, CA)",191 North El Camino Real,Encinitas,CA,92024,,US,E,833-632-2778,,private,33.04952,-117.25916,279364
ELEC,Buc-ee's,1700 Highway 71 E,Bastrop,TX,78602,,US,E,979-238-6390,,public,30.10698,-97.30638,218391
ELEC,All American Propane - East,50 W Summit Dr,Othello,WA,99344,,US,E,509-488-2138,,private,46.9652135,-119.3432515,49633
ELEC,"Windsor Corner (East Windsor, NJ)",440 US 130,East Windsor,NJ,8520,,US,E,833-632-2778,,public,40.27293,-74.54102,417770
ELEC,Flying J 756,780 State Hwy 54,Black River Falls,WI,54615,,US,E,877-455-3833,,public,44.29578,-90.82975,371853
CNG,Cullman - Jefferson Gas,1550 County Rd 715,Hanceville,AL,35077,,US,E,256-734-1911,,private,34.132047,-86.815607,53619
ELEC,"TA, US-17, Richmond Hill, GA",4401 HWY 17,Richmond Hill,GA,31324,,US,E,833-277-8573,,private,31.925739,-81.332958,387077
ELEC,Los Lunas Pavilions Shopping Center,1620 Main St NW,Los Lunas,NM,87031,,US,E,800-489-1588,,public,34.814892,-106.753149,421129
CNG,"K&K Service, Supply, & Propane",1201 N Park Ave,Alexandria,IN,46001,,US,P,765-724-0333,2025-01-18,private,40.27352,-85.67085,371620
ELEC,Raley's,2400 Sand Creek Rd,Brentwood,CA,94513,,US,P,877-455-3833,2025-01-19,private,37.9432469,-121.7362617,397697
ELEC,EVolve NY Victor,441 Commerce Dr,Victor,NY,14564,,US,E,833-632-2778,,public,43.01855,-77.43829,213986
ELEC,Kohl's 308 - Mechanicsville,7390 Bell Creek Rd,Mechanicsville,VA,23111,,US,E,877-455-3833,,private,37.6074575,-77.3547401,350393
ELEC,"La Quinta Inn (Seguin, TX)",1501 N State Highway 46,Seguin,TX,78155,,US,E,833-632-2778,,public,29.5816,-97.99286,279504
ELEC,"BOA CA3-147 (Davis, CA)",325 E Street,Davis,CA,95616,,US,E,833-632-2778,,private,38.54566,-121.74202,190432
CNG,DeKalb County - Central,3720 Leroy Scott Dr,Decatur,GA,30032,,US,E,404-297-4434,,public,33.771564,-84.239687,52686
CNG,Questar Gas - JR's Truck Stop,2635 N Fwy Dr,Cedar City,UT,84721,,US,E,435-586-0498,,private,37.72495,-113.056978,60210
CNG,PG&E - Vacaville Service Center,158 Peabody Rd,Vacaville,CA,95687,,US,P,800-684-4648,2025-01-20,public,38.3509,-121.977342,1349
ELEC,Mandarin Landing,10601 San Jose Blvd,Jacksonville,FL,32257,,US,E,877-455-3833,,public,30.1841063,-81.625338,398087
ELEC,Town of Rumford,43 River Street,Rumford,ME,4276,,US,E,866-816-7584,,private,44.544383,-70.54661,438006
ELEC,Shops at Mission Viejo,555 Shops Blvd.,Mission Viejo,CA,92691,,US,E,833-632-2778,,public,33.55726,-117.66801,155195
CNG,OnCue Express #126,300 S Council Rd,Oklahoma City,OK,73128,,US,E,405-338-8552,,public,35.462338,-97.654087,75638
ELEC,True Zero - Hollywood Blvd,5700 Hollywood Blvd,Los Angeles,CA,90028,,US,E,844-878-9376,,private,34.101336,-118.314034,61980
ELEC,Helfman Ford,12220 Southwest Fwy,Stafford,TX,77477,,US,E,888-357-1009,,private,29.646344,-95.575004,358414
ELEC,Home Depot -0628-San Carlos,1125 OLD COUNTY RD,SAN CARLOS,CA,94070,,US,P,877-455-3833,2025-01-21,public,37.50111,-122.25024,372077
CNG,Piedmont Natural Gas,85 Freeman Farm Rd,Duncan,SC,29334,,US,E,877-840-0043,,public,34.888642,-82.159227,65436
ELEC,Tumbleweed Propane Inc,527 Warren St,Thermopolis,WY,82443,,US,P,307-864-5454,2025-01-22,private,43.644451,-108.211405,167947
ELEC,Orange County Multi Cultural Center,7149 W Colonial Dr,Orlando,FL,32818,,US,P,866-816-7584,2025-01-23,private,28.553592,-81.476894,334348
CNG,Trillium - Mirabito,90 Barlow Rd,Kirkwood,NY,13904,,US,E,800-920-1166,,private,42.102397,-75.839707,53633
ELEC,Dunkin - Tesla Supercharger,1  Starr Ridge Rd,Brewster,NY,10509,,US,P,877-798-3752,2025-01-24,public,41.391831,-73.595235,237652
ELEC,11514 Research Blvd,11514 Research Blvd,Austin,TX,78759,,US,P,866-816-7584,2025-01-25,private,30.4127,-97.746848,422767
ELEC,"The Falls (Miami, FL)",8888 SW 136th St,Miami,FL,33176,,US,E,833-632-2778,,public,25.64626,-80.3381,187156
CNG,Chevron CNG Station 387979,14512 Aliso Dr,Fontana,CA,92337,,US,E,877-872-3966,,private,34.06064,-117.488,85854
ELEC,Morris Smith Ford of Leavenworth,4501 S 4th St Trafficway,Leavenworth,KS,66048,,US,E,888-357-1009,,private,39.27246,-94.899266,358400
CNG,Chevron - Leebo's #9,6016 Old Boyce Hwy,Alexandria,LA,71303,,US,E,318-449-1578,,private,31.34545,-92.51807,41450
ELEC,Pilot Travel Center 595,2611 Vernell Rd,Marion,IL,62959,,US,E,877-455-3833,,private,37.7407765,-88.9646565,374612
ELEC,"Walmart 1439 - Washington, UT",625 W. Telegraph St.,Washington,UT,84780,,US,E,833-632-2778,,public,37.1273,-113.51969,146946
CNG,Kwik Trip #242,980 S Hickory St,Fond Du Lac,WI,54935,,US,E,920-921-2925,,public,43.751366,-88.462334,63027
ELEC,"Costco Highland (Highland, CA)",28000 Greenspot St.,Highland,CA,93246,,US,E,833-632-2778,,private,34.11007,-117.19417,416189
CNG,INL Atomic City,2650 W 1540 N,Blackfoot,ID,83221,,US,E,,,public,43.4465458,-112.8113372,361330
ELEC,"Citivest Rossmoor SC (Walnut Creek, CA)",1908 Tice Valley Blvd,Walnut Creek,CA,94595,,US,E,833-632-2778,,public,37.87853,-122.0731,279339
ELEC,Conoco Gas Station - Tesla Supercharger,50 Frontage Rd,Frisco,CO,80443,,US,E,877-798-3752,,public,39.505696,-106.14114,350458
CNG,Love's Travel Stop #279,215 E I-30 N Service Rd,Mt. Vernon,TX,75457,,US,E,903-537-7696,,public,33.16455,-95.218785,149855
CNG,IGS CNG Services - Fairview,6411 Howard Dr,Fairview,PA,16415,,US,P,877-742-4476,2025-01-26,public,42.020202,-80.188497,105075
ELEC,Electric Era Charging Station,495 4th Street,Williams,CA,95987,,US,E,888-409-2980,,private,39.1565491,-122.1462967,397780
ELEC,State Street Shopping Center,2600 State St,East St Louis,IL,62205,,US,P,877-455-3833,2025-01-27,public,38.615246,-90.12625,429787
CNG,Pilot Travel Center,8020 Campstool Rd,Cheyenne,WY,82007,,US,E,307-635-5744,,private,41.135919,-104.707315,66081
ELEC,Tivoli Centre,1400 N Norma St,Ridgecrest,CA,93555,,US,E,877-455-3833,,private,35.64668,-117.67788,439444
ELEC,Ford of Dalton,925 Shugart Rd,Dalton,GA,30720,,US,E,313-262-6722,,private,34.793905,-84.997161,351271
ELEC,Swift Creek,13501 Hull Street Rd,Midlothian,VA,23112,,US,E,866-816-7584,,private,37.411391,-77.646565,334291
ELEC,Circle K - Page,3 N Lake Powell Blvd,Page,AZ,86040,,US,E,833-505-2291,,public,36.918216,-111.461022,417734
ELEC,Sacramento International Airport,6900 Airport Blvd.,Sacramento,CA,95837,,US,E,833-632-2778,,private,38.67789,-121.58925,190410
ELEC,Kelly Propane and Fuel,705 E Olive St,Holliday,TX,76366,,US,E,940-586-1208,,public,33.819385,-98.686215,22574
ELEC,Advent Health Lake Wales,410 S 11th St,Lake Wales,FL,33853,,US,E,866-816-7584,,private,27.894881,-81.564962,326752
ELEC,901 W Park Blvd,901 W Park Blvd,Plano,TX,75075,,US,E,,,private,33.02818,-96.71345,388774
ELEC,Ocean View Plaza,638 Camino de los Mares,San Clemente,CA,92673,,US,E,877-455-3833,,private,33.459093,-117.651987,373121
ELEC,Taylor Rental - Propane AutoGas LLC,102 peckhart Ct,Auburn,IN,46706,,US,E,260-925-3000,,public,41.36701,-85.0908,75473
CNG,Piedmont Natural Gas - Greensboro,2611 Greengate Dr,Greensboro,NC,27406,,US,P,877-840-0043,2025-01-28,public,36.02452,-79.797974,61868
ELEC,"Cheyenne, WY",1400 Dell Range Blvd.,Cheyenne,WY,82009,,US,E,866-576-1495,,private,41.161093281426,-104.8064348963735,391157
ELEC,1600 9th Avenue Southeast,1600 9th Avenue Southeast,Watertown,SD,57201,,US,E,866-816-7584,,private,44.889372,-97.089015,356047
CNG,Trillium - Mount Diablo Unified School District,2352 Bisso Ln,Mt.Diablo,CA,94520,,US,E,800-920-1166,,private,37.9816,-122.04593,21660
ELEC,Walmart 224 Mount Vernon,110 Davidson Ave,Mount Vernon,IL,62864,,US,E,833-632-2778,,public,38.31026,-88.95806,164397
CNG,Bert's RV Park & Propane,1120 State Highway 35 S,Bay City,TX,77414,,US,E,979-245-2840,,private,28.984489,-96.01559728,20177
CNG,Equity Energy,518 Texas 143 Loop SE,Perryton,TX,79070,,US,E,806-435-5844,,public,36.39737955,-100.7858191,22053
ELEC,Inver Grove Ford - DCFC,4725 South Robert Trail,Inver Grove Heights,MN,55077,,US,P,888-998-2546,2025-01-29,private,44.88046583196521,-93.08201081321305,348036
ELEC,Junius Ponds Travel Plaza,NY State Thruway,Phelps,NY,14532,,US,E,888-557-7099,,private,42.9587887,-76.9174498,320693
CNG,Blossman Gas,3465 Southport-Supply Rd SE,Bolivia,NC,28422,,US,E,910-751-8788,,private,33.96949,-78.12243,398232
CNG,Love's Travel Stop #450,800 Martin Luther King Jr Dr,West Memphis,AR,72301,,US,E,870-732-1272,,private,35.153934,-90.138245,64208
CNG,City of Chesapeake,905 Executive Blvd,Chesapeake,VA,23320,,US,E,757-382-3375,,public,36.755694,-76.224619,79934
ELEC,"Lewisville, TX Rechargery Relay - S Stemmons Fwy",877 S Stemmons Fwy,Lewisville,TX,75067,,US,E,833-466-2474,,private,33.037371,-97.001794,398516
ELEC,Flying J 667,7800 West Grand River Ave.,Grand Ledge,MI,48837,,US,E,877-455-3833,,public,42.7878,-84.67784,350005
CNG,United Parcel Service,1320 Shore St,West Sacramento,CA,95691,,US,E,800-920-1166,,private,38.572721,-121.546207,77947
ELEC,Monaco Ford,30 Oak Street,Glastonbury,CT,6033,,US,E,888-998-2546,,private,41.70534175586175,-72.59343724433116,389102
ELEC,Michael Bates Chevrolet Woodhaven,23755 Allen Rd,Woodhaven,MI,48183,,US,E,866-816-7584,,public,42.136767,-83.225429,389552
CNG,Fricks Butane Gas Inc,2307 E 9th St,Texarkana,AR,71854,,US,E,870-774-5892,,private,33.431073,-94.018386,98468
ELEC,"Walmart 286 - Ennis, TX",700 E Ennis Avenue,Ennis,TX,75119,,US,E,833-632-2778,,public,32.33207,-96.62012,133327
ELEC,Stinker Store #68,326 ID 24,Heyburn,ID,83336,,US,E,833-632-2778,,public,42.57256,-113.73045,170348
ELEC,Florida Power & Light - EVolution - Village Square Dunkin,15935 SW Warfield Blvd,Indiantown,FL,34956,,US,E,,,public,27.0238623,-80.4712889,205242
ELEC,Southern CDJR - Norfolk,2747 N Military Hwy,Norfolk,VA,23513,,US,E,888-717-4544,,private,36.8846,-76.21717,440831
ELEC,Maplecrest Ford,102 E Main St,Mendham,NJ,7945,,US,E,888-357-1009,,public,40.78311,-74.586578,416879
ELEC,United Farmers Co-op,316 Main St,LeSueur,MN,56058,,US,E,507-665-6421,,public,44.464146,-93.913688,170762
CNG,Clean Energy - Romeoville,300 Southcreek Pkwy,Romeoville,IL,60446,,US,E,866-809-4869,,private,41.61281,-88.10407,348030
ELEC,"Inventrust Pavilion At LaQuinta (LaQuinta, CA)",79220 Hwy 111,LaQuinta,CA,92253,,US,E,833-632-2778,,private,33.70981,-116.28597,279335
CNG,IGS CNG Services - Speedway South Bend,6161 W Brick Rd,South Bend,IN,46628,,US,E,877-742-4476,,private,41.738117,-86.333532,67298
CNG,Greer Commission of Public Works,115 Duke St,Greer,SC,29650,,US,E,964-309-3038,,public,34.936731,-82.233031,47295
ELEC,Muscatine IA,2603 2nd Ave.,Muscatine,IA,52761,,US,E,855-900-7584,,private,41.451729,-91.034815,323163
ELEC,"Walmart 2077 (Lake Elsinore, CA)",29260 Central Avenue,Lake Elsinore,CA,92532,,US,E,833-632-2778,,private,33.69454,-117.33339,200511
CNG,Clean Energy - Newport Beach,592 Superior Ave,Newport Beach,CA,92663,,US,E,866-809-4869,,public,33.63214438,-117.9271508,35656
ELEC,Rocky Mountain Supply,350 Jackrabbit Ln,Belgrade,MT,59714,,US,E,406-388-4008,,private,45.775394,-111.18431,70128
ELEC,Stoneham Ford Service Center,185 Main Street,Stoneham,MA,2180,,US,E,866-816-7584,,public,42.489241,-71.100776,397946
ELEC,Tiffin River Service Plaza,21747 CO RD M-50,West Unity,OH,43570,,US,E,833-632-2778,,private,41.60305,-84.4086,123602
ELEC,Mathews Ford - DCFC,1155 Delaware Avenue,Marion,OH,43302,,US,E,888-998-2546,,public,40.56880974636328,-83.12301503068326,350138
ELEC,2050 Plainfield Pike,2050 Plainfield Pike,Cranston,RI,2921,,US,E,855-900-7584,,public,41.788466,-71.508837,377567
CNG,Campora Propane Service,2525 E Mariposa Rd,Stockton,CA,95205,,US,P,209-466-8611,2025-01-30,private,37.93445603,-121.2366276,20603
ELEC,"Pacifica Foothill Center (Vista, CA)",1223 E Vista Way,Vista,CA,92084,,US,E,833-632-2778,,public,33.21948,-117.22498,214224
ELEC,"Simon Shops at Riverside (Hackensack, NJ)",390 Hackensack Ave,Hackensack,NJ,7601,,US,E,833-632-2778,,private,40.90456,-74.03008,279322
ELEC,Cleveland Ford,2496 S Lee Hwy,Cleveland,TN,37311,,US,P,888-357-1009,2025-01-31,private,35.145553,-84.92618,358331
ELEC,"Fair Oaks Mall (Fairfax, VA)",11750 Fair Oaks Mall,Fairfax,VA,22033,,US,P,833-632-2778,2025-02-01,public,38.86422,-77.35563,390941
CNG,Hopkins Propane,2701 12 St,Shelbyville,MI,49344,,US,E,800-427-8969,,public,42.616228,-85.662521,77386
CNG,Comfurt Gas,655 Gregg Dr,Buena Vista,CO,81211,,US,E,719-395-8445,,public,38.824587,-106.136449,61444
ELEC,Cenex - Glacial Plains Co-op,1020 Atlantic Ave,Benson,MN,56215,,US,E,320-843-3999,,public,45.314149,-95.597034,65306
CNG,Piedmont Natural Gas - Greensboro,2611 Greengate Dr,Greensboro,NC,27406,,US,P,877-840-0043,2025-02-02,public,36.02452,-79.797974,61868
ELEC,Plattekill Service Area,I-87 - NYS Thruway NB,Plattekill,NY,12568,,US,E,888-557-7099,,private,41.57764564395,-74.08538635339066,347238
CNG,Opal Fuels,515 E Verot School Rd,Lafayette,LA,70508,,US,P,914-705-4000,2025-02-03,private,30.181429,-91.993631,42584
ELEC,U-HAUL 738062,1102 NW Cache Rd,Lawton,OK,73507,,US,E,405-432-0205,,private,34.62271,-98.40523,375088
ELEC,Pilot Travel Center 118,7801 Alcoa Rd,Benton,AR,72019,,US,E,877-455-3833,,private,34.60832,-92.53334,347669
CNG,Flying J,685 Highway 80 E,Pearl,MS,39208,,US,E,601-936-0190,,private,32.276776,-90.160321,66162
ELEC,"Kroger QFC 878 (Redmond, WA)",23475 NE Novelty Hill Rd,Redmond,WA,98053,,US,E,833-632-2778,,private,47.69951,-122.02569,316269
CNG,Blue Star Gas,416 State Ave NE,Olympia,WA,98501,,US,E,360-943-1133,,private,47.046279,-122.897347,70129
ELEC,American Propane Gas Co,7401 Broadway Extension Hwy,Oklahoma City,OK,73116,,US,E,405-843-6868,,private,35.5468031,-97.5147226,15393
ELEC,Ferrario Ford,2472 Corning Rd,Elmira,NY,14903,,US,E,313-262-6722,,private,42.14998548857,-76.83257207631,396998
ELEC,DeCarli's Propane,423 Wilson St,Petaluma,CA,94952,,US,E,707-762-4511,,private,38.236513,-122.629384,14780
ELEC,BP Newport MI,8733 Swan Creek Rd,Newport,MI,48166,,US,E,313-262-6722,,private,42.00143,-83.30848,302666
